Date,Open,High,Low,Close
04/01/2020,"1.1035","1.1041","1.0903","1.0964"
03/31/2020,"1.1046","1.1054","1.0928","1.1034"
03/30/2020,"1.1169","1.1169","1.1011","1.1047"
03/27/2020,"1.1033","1.1149","1.0956","1.1139"
03/26/2020,"1.0883","1.1060","1.0870","1.1035"
03/25/2020,"1.0790","1.0896","1.0761","1.0884"
03/24/2020,"1.0725","1.0889","1.0724","1.0788"
03/23/2020,"1.0764","1.0827","1.0636","1.0728"
03/20/2020,"1.0691","1.0832","1.0638","1.0697"
03/19/2020,"1.0914","1.0981","1.0656","1.0693"
03/18/2020,"1.1000","1.1047","1.0803","1.0916"
03/17/2020,"1.1184","1.1190","1.0957","1.0998"
03/16/2020,"1.1145","1.1238","1.1065","1.1182"
03/13/2020,"1.1187","1.1222","1.1056","1.1104"
03/12/2020,"1.1272","1.1335","1.1056","1.1185"
03/11/2020,"1.1282","1.1367","1.1258","1.1271"
03/10/2020,"1.1444","1.1459","1.1276","1.1283"
03/09/2020,"1.1287","1.1487","1.1287","1.1440"
03/06/2020,"1.1237","1.1356","1.1214","1.1286"
03/05/2020,"1.1137","1.1246","1.1121","1.1236"
03/04/2020,"1.1173","1.1188","1.1096","1.1136"
03/03/2020,"1.1135","1.1213","1.1097","1.1172"
03/02/2020,"1.1028","1.1185","1.1028","1.1134"
02/28/2020,"1.1001","1.1054","1.0952","1.1027"
02/27/2020,"1.0880","1.1007","1.0876","1.1002"
02/26/2020,"1.0881","1.0910","1.0855","1.0882"
02/25/2020,"1.0855","1.0891","1.0831","1.0882"
02/24/2020,"1.0846","1.0874","1.0808","1.0856"
02/21/2020,"1.0786","1.0865","1.0784","1.0847"
02/20/2020,"1.0808","1.0822","1.0779","1.0785"
02/19/2020,"1.0793","1.0815","1.0783","1.0806"
02/18/2020,"1.0838","1.0841","1.0787","1.0794"
02/17/2020,"1.0833","1.0853","1.0829","1.0836"
02/14/2020,"1.0844","1.0863","1.0829","1.0831"
02/13/2020,"1.0876","1.0891","1.0835","1.0843"
02/12/2020,"1.0918","1.0927","1.0866","1.0875"
02/11/2020,"1.0913","1.0926","1.0893","1.0917"
02/10/2020,"1.0946","1.0960","1.0909","1.0911"
02/07/2020,"1.0982","1.0987","1.0943","1.0948"
02/06/2020,"1.0999","1.1015","1.0965","1.0983"
02/05/2020,"1.1046","1.1049","1.0994","1.1000"
02/04/2020,"1.1061","1.1066","1.1033","1.1044"
02/03/2020,"1.1095","1.1097","1.1037","1.1063"
01/31/2020,"1.1032","1.1097","1.1018","1.1097"
01/30/2020,"1.1011","1.1041","1.1004","1.1033"
01/29/2020,"1.1024","1.1029","1.0993","1.1012"
01/28/2020,"1.1019","1.1027","1.0999","1.1022"
01/27/2020,"1.1028","1.1039","1.1010","1.1021"
01/24/2020,"1.1056","1.1063","1.1021","1.1026"
01/23/2020,"1.1093","1.1109","1.1037","1.1055"
01/22/2020,"1.1083","1.1099","1.1071","1.1095"
01/21/2020,"1.1095","1.1120","1.1081","1.1084"
01/20/2020,"1.1091","1.1104","1.1077","1.1096"
01/17/2020,"1.1137","1.1145","1.1087","1.1093"
01/16/2020,"1.1150","1.1174","1.1129","1.1136"
01/15/2020,"1.1128","1.1165","1.1120","1.1151"
01/14/2020,"1.1135","1.1146","1.1105","1.1129"
01/13/2020,"1.1123","1.1148","1.1113","1.1134"
01/10/2020,"1.1107","1.1131","1.1086","1.1122"
01/09/2020,"1.1105","1.1122","1.1094","1.1106"
