Date,Open,High,Low,Close
03/31/2017,"1.0676","1.0703","1.0653","1.0656"
03/30/2017,"1.0766","1.0772","1.0673","1.0675"
03/29/2017,"1.0813","1.0828","1.0741","1.0767"
03/28/2017,"1.0866","1.0874","1.0800","1.0814"
03/27/2017,"1.0800","1.0906","1.0800","1.0864"
03/24/2017,"1.0785","1.0820","1.0761","1.0800"
03/23/2017,"1.0797","1.0806","1.0769","1.0784"
03/22/2017,"1.0811","1.0826","1.0776","1.0798"
03/21/2017,"1.0740","1.0820","1.0720","1.0812"
03/20/2017,"1.0738","1.0779","1.0726","1.0741"
03/17/2017,"1.0767","1.0784","1.0729","1.0738"
03/16/2017,"1.0734","1.0772","1.0706","1.0768"
03/15/2017,"1.0606","1.0742","1.0604","1.0735"
03/14/2017,"1.0655","1.0663","1.0601","1.0605"
03/13/2017,"1.0674","1.0715","1.0653","1.0653"
03/10/2017,"1.0578","1.0701","1.0573","1.0674"
03/09/2017,"1.0543","1.0617","1.0525","1.0577"
03/08/2017,"1.0567","1.0576","1.0536","1.0542"
03/07/2017,"1.0581","1.0603","1.0559","1.0568"
03/06/2017,"1.0623","1.0641","1.0576","1.0583"
03/03/2017,"1.0506","1.0626","1.0503","1.0623"
03/02/2017,"1.0546","1.0553","1.0496","1.0508"
03/01/2017,"1.0578","1.0591","1.0515","1.0549"
02/28/2017,"1.0586","1.0631","1.0571","1.0577"
02/27/2017,"1.0562","1.0631","1.0552","1.0587"
02/24/2017,"1.0582","1.0619","1.0557","1.0562"
02/23/2017,"1.0559","1.0597","1.0538","1.0583"
02/22/2017,"1.0538","1.0576","1.0494","1.0561"
02/21/2017,"1.0615","1.0618","1.0526","1.0537"
02/20/2017,"1.0615","1.0632","1.0604","1.0614"
02/17/2017,"1.0675","1.0678","1.0606","1.0615"
02/16/2017,"1.0601","1.0681","1.0592","1.0673"
02/15/2017,"1.0577","1.0610","1.0522","1.0603"
02/14/2017,"1.0599","1.0635","1.0561","1.0579"
02/13/2017,"1.0642","1.0660","1.0593","1.0597"
02/10/2017,"1.0628","1.0670","1.0609","1.0642"
02/09/2017,"1.0700","1.0711","1.0651","1.0657"
02/08/2017,"1.0682","1.0714","1.0641","1.0699"
02/07/2017,"1.0750","1.0752","1.0656","1.0684"
02/06/2017,"1.0786","1.0790","1.0707","1.0752"
02/03/2017,"1.0759","1.0799","1.0716","1.0786"
02/02/2017,"1.0761","1.0829","1.0756","1.0760"
02/01/2017,"1.0800","1.0809","1.0733","1.0769"
01/31/2017,"1.0696","1.0812","1.0685","1.0798"
01/30/2017,"1.0699","1.0742","1.0621","1.0694"
01/27/2017,"1.0683","1.0726","1.0659","1.0699"
01/26/2017,"1.0750","1.0767","1.0658","1.0684"
01/25/2017,"1.0734","1.0771","1.0712","1.0747"
01/24/2017,"1.0766","1.0776","1.0721","1.0733"
01/23/2017,"1.0703","1.0771","1.0703","1.0767"
01/20/2017,"1.0664","1.0711","1.0626","1.0703"
01/19/2017,"1.0631","1.0678","1.0590","1.0665"
01/18/2017,"1.0713","1.0716","1.0629","1.0630"
01/17/2017,"1.0597","1.0720","1.0597","1.0714"
01/16/2017,"1.0645","1.0645","1.0580","1.0602"
01/13/2017,"1.0615","1.0671","1.0597","1.0645"
01/12/2017,"1.0584","1.0686","1.0572","1.0612"
01/11/2017,"1.0557","1.0624","1.0454","1.0582"
01/10/2017,"1.0575","1.0628","1.0552","1.0555"
01/09/2017,"1.0533","1.0583","1.0511","1.0573"
01/06/2017,"1.0608","1.0617","1.0526","1.0533"
01/05/2017,"1.0491","1.0616","1.0481","1.0607"
01/04/2017,"1.0407","1.0501","1.0390","1.0490"
01/03/2017,"1.0476","1.0492","1.0342","1.0406"
01/02/2017,"1.0520","1.0540","1.0452","1.0477"
12/30/2016,"1.0490","1.0647","1.0486","1.0520"
12/29/2016,"1.0415","1.0496","1.0409","1.0492"
12/28/2016,"1.0459","1.0481","1.0373","1.0414"
12/27/2016,"1.0460","1.0465","1.0434","1.0458"
12/26/2016,"1.0456","1.0481","1.0441","1.0454"
12/23/2016,"1.0444","1.0470","1.0428","1.0456"
12/22/2016,"1.0426","1.0500","1.0424","1.0438"
12/21/2016,"1.0389","1.0452","1.0384","1.0425"
12/20/2016,"1.0402","1.0419","1.0353","1.0388"
12/19/2016,"1.0451","1.0481","1.0394","1.0403"
12/16/2016,"1.0414","1.0474","1.0402","1.0451"
12/15/2016,"1.0536","1.0541","1.0367","1.0415"
12/14/2016,"1.0619","1.0671","1.0498","1.0537"
12/13/2016,"1.0637","1.0668","1.0604","1.0628"
12/12/2016,"1.0563","1.0653","1.0533","1.0636"
12/09/2016,"1.0613","1.0631","1.0532","1.0563"
12/08/2016,"1.0754","1.0872","1.0598","1.0617"
12/07/2016,"1.0723","1.0769","1.0712","1.0755"
12/06/2016,"1.0766","1.0786","1.0700","1.0718"
12/05/2016,"1.0668","1.0797","1.0539","1.0765"
12/02/2016,"1.0663","1.0691","1.0626","1.0668"
12/01/2016,"1.0592","1.0670","1.0585","1.0662"
11/30/2016,"1.0650","1.0668","1.0555","1.0590"
11/29/2016,"1.0609","1.0656","1.0566","1.0651"
11/28/2016,"1.0591","1.0686","1.0564","1.0613"
11/25/2016,"1.0555","1.0629","1.0539","1.0591"
11/24/2016,"1.0555","1.0586","1.0520","1.0554"
11/23/2016,"1.0626","1.0645","1.0527","1.0553"
11/22/2016,"1.0632","1.0659","1.0585","1.0627"
11/21/2016,"1.0591","1.0651","1.0589","1.0630"
11/18/2016,"1.0628","1.0644","1.0570","1.0591"
11/17/2016,"1.0692","1.0746","1.0621","1.0627"
11/16/2016,"1.0721","1.0761","1.0667","1.0691"
11/15/2016,"1.0738","1.0817","1.0714","1.0723"
11/14/2016,"1.0857","1.0857","1.0710","1.0737"
11/11/2016,"1.0894","1.0924","1.0831","1.0857"
11/10/2016,"1.0910","1.0955","1.0866","1.0893"
11/09/2016,"1.1028","1.1301","1.0907","1.0911"
11/08/2016,"1.1041","1.1069","1.1009","1.1025"
11/07/2016,"1.1141","1.1141","1.1029","1.1040"
