Date,Open,High,Low,Close
04/01/2019,"1.1219","1.1251","1.1204","1.1216"
03/29/2019,"1.1224","1.1248","1.1210","1.1219"
03/28/2019,"1.1246","1.1263","1.1215","1.1223"
03/27/2019,"1.1268","1.1287","1.1243","1.1244"
03/26/2019,"1.1314","1.1328","1.1264","1.1267"
03/25/2019,"1.1305","1.1333","1.1290","1.1315"
03/22/2019,"1.1375","1.1392","1.1274","1.1305"
03/21/2019,"1.1414","1.1439","1.1343","1.1377"
03/20/2019,"1.1354","1.1449","1.1336","1.1415"
03/19/2019,"1.1339","1.1363","1.1334","1.1353"
03/18/2019,"1.1326","1.1361","1.1319","1.1341"
03/15/2019,"1.1305","1.1346","1.1300","1.1326"
03/14/2019,"1.1330","1.1343","1.1295","1.1307"
03/13/2019,"1.1288","1.1340","1.1278","1.1327"
03/12/2019,"1.1247","1.1308","1.1245","1.1289"
03/11/2019,"1.1236","1.1259","1.1223","1.1245"
03/08/2019,"1.1196","1.1247","1.1186","1.1236"
03/07/2019,"1.1308","1.1322","1.1178","1.1194"
03/06/2019,"1.1308","1.1326","1.1287","1.1309"
03/05/2019,"1.1342","1.1349","1.1290","1.1310"
03/04/2019,"1.1368","1.1377","1.1310","1.1340"
03/01/2019,"1.1373","1.1409","1.1354","1.1368"
02/28/2019,"1.1371","1.1422","1.1360","1.1372"
02/27/2019,"1.1389","1.1405","1.1363","1.1370"
02/26/2019,"1.1357","1.1404","1.1346","1.1390"
02/25/2019,"1.1335","1.1369","1.1335","1.1359"
02/22/2019,"1.1336","1.1359","1.1317","1.1335"
02/21/2019,"1.1337","1.1368","1.1322","1.1337"
02/20/2019,"1.1343","1.1373","1.1326","1.1340"
02/19/2019,"1.1310","1.1359","1.1276","1.1344"
02/18/2019,"1.1298","1.1336","1.1294","1.1312"
02/15/2019,"1.1300","1.1312","1.1236","1.1298"
02/14/2019,"1.1262","1.1311","1.1250","1.1298"
02/13/2019,"1.1328","1.1344","1.1261","1.1263"
02/12/2019,"1.1276","1.1342","1.1259","1.1327"
02/11/2019,"1.1326","1.1332","1.1268","1.1278"
02/08/2019,"1.1340","1.1353","1.1321","1.1326"
02/07/2019,"1.1363","1.1377","1.1325","1.1341"
02/06/2019,"1.1407","1.1417","1.1361","1.1364"
02/05/2019,"1.1439","1.1453","1.1402","1.1406"
02/04/2019,"1.1459","1.1462","1.1425","1.1437"
02/01/2019,"1.1450","1.1489","1.1435","1.1459"
01/31/2019,"1.1480","1.1516","1.1437","1.1449"
01/30/2019,"1.1435","1.1503","1.1407","1.1482"
01/29/2019,"1.1427","1.1452","1.1412","1.1434"
01/28/2019,"1.1413","1.1446","1.1391","1.1429"
01/25/2019,"1.1308","1.1419","1.1300","1.1413"
01/24/2019,"1.1382","1.1393","1.1290","1.1307"
01/23/2019,"1.1360","1.1396","1.1352","1.1381"
01/22/2019,"1.1365","1.1382","1.1337","1.1362"
01/21/2019,"1.1364","1.1392","1.1358","1.1367"
01/18/2019,"1.1390","1.1412","1.1354","1.1364"
01/17/2019,"1.1391","1.1407","1.1372","1.1392"
01/16/2019,"1.1412","1.1425","1.1378","1.1393"
01/15/2019,"1.1471","1.1492","1.1383","1.1415"
01/14/2019,"1.1469","1.1484","1.1451","1.1472"
01/11/2019,"1.1501","1.1541","1.1453","1.1469"
01/10/2019,"1.1543","1.1572","1.1487","1.1500"
01/09/2019,"1.1443","1.1556","1.1437","1.1545"
01/08/2019,"1.1474","1.1486","1.1423","1.1442"
01/07/2019,"1.1398","1.1485","1.1398","1.1476"
01/04/2019,"1.1394","1.1420","1.1347","1.1398"
01/03/2019,"1.1345","1.1412","1.1307","1.1395"
01/02/2019,"1.1465","1.1498","1.1326","1.1344"
01/01/2019,"1.1468","1.1586","1.1447","1.1466"
12/31/2018,"1.1443","1.1470","1.1422","1.1470"
12/28/2018,"1.1431","1.1478","1.1426","1.1443"
12/27/2018,"1.1355","1.1455","1.1353","1.1433"
12/26/2018,"1.1394","1.1422","1.1344","1.1353"
12/25/2018,"1.1405","1.1425","1.1366","1.1395"
12/24/2018,"1.1370","1.1440","1.1370","1.1402"
12/21/2018,"1.1446","1.1475","1.1356","1.1370"
12/20/2018,"1.1378","1.1487","1.1372","1.1448"
12/19/2018,"1.1363","1.1441","1.1361","1.1379"
12/18/2018,"1.1349","1.1404","1.1338","1.1361"
12/17/2018,"1.1309","1.1360","1.1304","1.1348"
12/14/2018,"1.1365","1.1374","1.1270","1.1309"
12/13/2018,"1.1369","1.1394","1.1332","1.1358"
12/12/2018,"1.1318","1.1388","1.1315","1.1370"
12/11/2018,"1.1357","1.1401","1.1307","1.1319"
12/10/2018,"1.1387","1.1444","1.1351","1.1358"
12/07/2018,"1.1377","1.1424","1.1361","1.1387"
12/06/2018,"1.1345","1.1413","1.1323","1.1379"
12/05/2018,"1.1343","1.1362","1.1317","1.1344"
12/04/2018,"1.1356","1.1419","1.1321","1.1344"
12/03/2018,"1.1320","1.1382","1.1320","1.1354"
11/30/2018,"1.1396","1.1402","1.1306","1.1320"
11/29/2018,"1.1366","1.1403","1.1349","1.1394"
11/28/2018,"1.1289","1.1388","1.1268","1.1368"
11/27/2018,"1.1329","1.1346","1.1278","1.1293"
11/26/2018,"1.1339","1.1384","1.1325","1.1328"
11/23/2018,"1.1403","1.1421","1.1328","1.1339"
11/22/2018,"1.1387","1.1434","1.1382","1.1404"
11/21/2018,"1.1372","1.1425","1.1366","1.1385"
11/20/2018,"1.1454","1.1474","1.1359","1.1370"
11/19/2018,"1.1418","1.1465","1.1394","1.1455"
11/16/2018,"1.1329","1.1422","1.1322","1.1418"
11/15/2018,"1.1310","1.1362","1.1275","1.1332"
11/14/2018,"1.1292","1.1348","1.1264","1.1312"
11/13/2018,"1.1219","1.1295","1.1217","1.1290"
11/12/2018,"1.1336","1.1336","1.1216","1.1220"
11/09/2018,"1.1363","1.1371","1.1319","1.1336"
11/08/2018,"1.1428","1.1447","1.1353","1.1365"
11/07/2018,"1.1429","1.1501","1.1398","1.1426"
11/06/2018,"1.1409","1.1440","1.1393","1.1427"
