Date,Open,High,Low,Close
04/01/2015,"1.0733","1.0801","1.0720","1.0764"
03/31/2015,"1.0835","1.0847","1.0715","1.0735"
03/30/2015,"1.0890","1.0890","1.0811","1.0834"
03/27/2015,"1.0885","1.0946","1.0803","1.0890"
03/26/2015,"1.0972","1.1056","1.0858","1.0886"
03/25/2015,"1.0925","1.1016","1.0901","1.0971"
03/24/2015,"1.0946","1.1030","1.0892","1.0926"
03/23/2015,"1.0821","1.0973","1.0769","1.0947"
03/20/2015,"1.0660","1.0882","1.0650","1.0821"
03/19/2015,"1.0865","1.0903","1.0614","1.0661"
03/18/2015,"1.0599","1.1025","1.0581","1.0864"
03/17/2015,"1.0568","1.0651","1.0552","1.0598"
03/16/2015,"1.0497","1.0621","1.0493","1.0570"
03/13/2015,"1.0636","1.0637","1.0463","1.0497"
03/12/2015,"1.0549","1.0684","1.0498","1.0637"
03/11/2015,"1.0699","1.0717","1.0512","1.0548"
03/10/2015,"1.0854","1.0857","1.0694","1.0700"
03/09/2015,"1.0843","1.0908","1.0837","1.0853"
03/06/2015,"1.1031","1.1035","1.0841","1.0843"
03/05/2015,"1.1079","1.1116","1.0990","1.1030"
03/04/2015,"1.1177","1.1188","1.1063","1.1081"
03/03/2015,"1.1184","1.1219","1.1156","1.1176"
03/02/2015,"1.1197","1.1246","1.1164","1.1185"
02/27/2015,"1.1198","1.1247","1.1176","1.1197"
02/26/2015,"1.1361","1.1381","1.1185","1.1199"
02/25/2015,"1.1336","1.1388","1.1335","1.1362"
02/24/2015,"1.1336","1.1359","1.1290","1.1341"
02/23/2015,"1.1381","1.1395","1.1296","1.1335"
02/20/2015,"1.1370","1.1426","1.1282","1.1381"
02/19/2015,"1.1399","1.1452","1.1357","1.1369"
02/18/2015,"1.1411","1.1418","1.1336","1.1398"
02/17/2015,"1.1357","1.1450","1.1328","1.1413"
02/16/2015,"1.1391","1.1430","1.1320","1.1356"
02/13/2015,"1.1405","1.1446","1.1381","1.1391"
02/12/2015,"1.1337","1.1424","1.1305","1.1404"
02/11/2015,"1.1320","1.1347","1.1281","1.1335"
02/10/2015,"1.1324","1.1347","1.1275","1.1322"
02/09/2015,"1.1316","1.1361","1.1271","1.1327"
02/06/2015,"1.1479","1.1487","1.1312","1.1316"
02/05/2015,"1.1345","1.1500","1.1305","1.1478"
02/04/2015,"1.1481","1.1486","1.1317","1.1344"
02/03/2015,"1.1342","1.1532","1.1314","1.1480"
02/02/2015,"1.1291","1.1366","1.1288","1.1341"
01/30/2015,"1.1319","1.1366","1.1280","1.1291"
01/29/2015,"1.1288","1.1368","1.1262","1.1321"
01/28/2015,"1.1381","1.1384","1.1278","1.1287"
01/27/2015,"1.1240","1.1424","1.1225","1.1382"
01/26/2015,"1.1206","1.1296","1.1153","1.1239"
01/23/2015,"1.1365","1.1374","1.1118","1.1206"
01/22/2015,"1.1610","1.1647","1.1318","1.1368"
01/21/2015,"1.1551","1.1674","1.1542","1.1611"
01/20/2015,"1.1608","1.1620","1.1541","1.1550"
01/19/2015,"1.1567","1.1641","1.1552","1.1608"
01/16/2015,"1.1634","1.1656","1.1462","1.1567"
01/15/2015,"1.1790","1.1795","1.1570","1.1633"
01/14/2015,"1.1773","1.1847","1.1730","1.1789"
01/13/2015,"1.1835","1.1861","1.1756","1.1773"
01/12/2015,"1.1843","1.1873","1.1787","1.1835"
