Date,Open,High,Low,Close
03/30/2018,"1.2302","1.2333","1.2295","1.2324"
03/29/2018,"1.2309","1.2337","1.2284","1.2301"
03/28/2018,"1.2403","1.2423","1.2300","1.2310"
03/27/2018,"1.2441","1.2477","1.2374","1.2405"
03/26/2018,"1.2356","1.2463","1.2352","1.2446"
03/23/2018,"1.2302","1.2374","1.2301","1.2356"
03/22/2018,"1.2340","1.2389","1.2285","1.2304"
03/21/2018,"1.2242","1.2351","1.2241","1.2338"
03/20/2018,"1.2337","1.2356","1.2240","1.2241"
03/19/2018,"1.2291","1.2360","1.2259","1.2336"
03/16/2018,"1.2305","1.2337","1.2262","1.2291"
03/15/2018,"1.2370","1.2385","1.2301","1.2306"
03/14/2018,"1.2388","1.2414","1.2348","1.2369"
03/13/2018,"1.2335","1.2409","1.2315","1.2392"
03/12/2018,"1.2307","1.2347","1.2291","1.2337"
03/09/2018,"1.2312","1.2335","1.2274","1.2307"
03/08/2018,"1.2413","1.2447","1.2299","1.2313"
03/07/2018,"1.2406","1.2446","1.2386","1.2411"
03/06/2018,"1.2338","1.2421","1.2330","1.2404"
03/05/2018,"1.2321","1.2350","1.2271","1.2336"
03/02/2018,"1.2267","1.2338","1.2252","1.2321"
03/01/2018,"1.2196","1.2273","1.2156","1.2268"
02/28/2018,"1.2234","1.2242","1.2189","1.2194"
02/27/2018,"1.2317","1.2347","1.2223","1.2233"
02/26/2018,"1.2298","1.2356","1.2279","1.2319"
02/23/2018,"1.2328","1.2338","1.2280","1.2298"
02/22/2018,"1.2283","1.2353","1.2260","1.2332"
02/21/2018,"1.2337","1.2361","1.2282","1.2286"
02/20/2018,"1.2408","1.2414","1.2321","1.2339"
02/19/2018,"1.2409","1.2437","1.2370","1.2407"
02/16/2018,"1.2506","1.2557","1.2396","1.2409"
02/15/2018,"1.2451","1.2511","1.2449","1.2507"
02/14/2018,"1.2352","1.2466","1.2277","1.2452"
02/13/2018,"1.2294","1.2372","1.2285","1.2354"
02/12/2018,"1.2252","1.2298","1.2236","1.2293"
02/09/2018,"1.2247","1.2287","1.2206","1.2252"
02/08/2018,"1.2266","1.2295","1.2214","1.2249"
02/07/2018,"1.2378","1.2407","1.2247","1.2265"
02/06/2018,"1.2366","1.2434","1.2315","1.2379"
02/05/2018,"1.2459","1.2477","1.2364","1.2368"
02/02/2018,"1.2510","1.2520","1.2411","1.2459"
02/01/2018,"1.2415","1.2523","1.2387","1.2507"
01/31/2018,"1.2409","1.2476","1.2388","1.2414"
01/30/2018,"1.2385","1.2455","1.2338","1.2404"
01/29/2018,"1.2427","1.2434","1.2338","1.2383"
01/26/2018,"1.2398","1.2494","1.2372","1.2427"
01/25/2018,"1.2408","1.2536","1.2366","1.2397"
01/24/2018,"1.2297","1.2416","1.2292","1.2410"
01/23/2018,"1.2264","1.2307","1.2224","1.2298"
01/22/2018,"1.2220","1.2268","1.2216","1.2262"
01/19/2018,"1.2240","1.2297","1.2216","1.2220"
01/18/2018,"1.2186","1.2266","1.2167","1.2239"
01/17/2018,"1.2261","1.2324","1.2179","1.2188"
01/16/2018,"1.2266","1.2284","1.2196","1.2259"
01/15/2018,"1.2200","1.2298","1.2188","1.2264"
01/12/2018,"1.2033","1.2215","1.2031","1.2200"
01/11/2018,"1.1948","1.2060","1.1931","1.2034"
01/10/2018,"1.1939","1.2019","1.1924","1.1949"
01/09/2018,"1.1969","1.1977","1.1917","1.1937"
01/08/2018,"1.2032","1.2054","1.1957","1.1968"
01/05/2018,"1.2069","1.2084","1.2013","1.2032"
01/04/2018,"1.1997","1.2090","1.1997","1.2068"
01/03/2018,"1.2060","1.2069","1.2004","1.2014"
01/02/2018,"1.2010","1.2083","1.2006","1.2061"
01/01/2018,"1.2003","1.2020","1.1995","1.2006"
12/29/2017,"1.1944","1.2027","1.1937","1.2003"
12/28/2017,"1.1888","1.1961","1.1888","1.1943"
12/27/2017,"1.1860","1.1911","1.1855","1.1889"
12/26/2017,"1.1871","1.1880","1.1847","1.1859"
12/25/2017,"1.1862","1.1904","1.1845","1.1876"
12/22/2017,"1.1874","1.1878","1.1819","1.1862"
12/21/2017,"1.1871","1.1891","1.1850","1.1876"
12/20/2017,"1.1841","1.1903","1.1829","1.1873"
12/19/2017,"1.1781","1.1851","1.1777","1.1840"
12/18/2017,"1.1748","1.1835","1.1743","1.1782"
12/15/2017,"1.1780","1.1813","1.1748","1.1748"
12/14/2017,"1.1826","1.1864","1.1771","1.1778"
12/13/2017,"1.1744","1.1833","1.1730","1.1827"
12/12/2017,"1.1769","1.1794","1.1718","1.1743"
12/11/2017,"1.1774","1.1813","1.1765","1.1771"
12/08/2017,"1.1775","1.1778","1.1731","1.1774"
12/07/2017,"1.1797","1.1813","1.1772","1.1774"
12/06/2017,"1.1827","1.1849","1.1781","1.1798"
12/05/2017,"1.1866","1.1879","1.1801","1.1826"
12/04/2017,"1.1896","1.1896","1.1831","1.1865"
12/01/2017,"1.1905","1.1942","1.1852","1.1896"
11/30/2017,"1.1849","1.1932","1.1810","1.1904"
11/29/2017,"1.1843","1.1884","1.1819","1.1850"
11/28/2017,"1.1898","1.1920","1.1829","1.1842"
11/27/2017,"1.1932","1.1962","1.1896","1.1900"
11/24/2017,"1.1852","1.1945","1.1837","1.1932"
11/23/2017,"1.1822","1.1857","1.1814","1.1850"
11/22/2017,"1.1740","1.1828","1.1733","1.1824"
11/21/2017,"1.1735","1.1758","1.1714","1.1738"
11/20/2017,"1.1793","1.1809","1.1726","1.1733"
11/17/2017,"1.1772","1.1822","1.1766","1.1793"
11/16/2017,"1.1793","1.1802","1.1758","1.1771"
11/15/2017,"1.1798","1.1861","1.1786","1.1791"
11/14/2017,"1.1667","1.1807","1.1662","1.1799"
11/13/2017,"1.1643","1.1676","1.1638","1.1669"
11/10/2017,"1.1665","1.1665","1.1665","1.1665"
11/09/2017,"1.1595","1.1654","1.1586","1.1642"
11/08/2017,"1.1588","1.1611","1.1580","1.1596"
11/07/2017,"1.1612","1.1617","1.1556","1.1587"
11/06/2017,"1.1610","1.1625","1.1581","1.1610"
11/03/2017,"1.1660","1.1690","1.1600","1.1610"
11/02/2017,"1.1619","1.1688","1.1614","1.1658"
11/01/2017,"1.1646","1.1658","1.1607","1.1621"
10/31/2017,"1.1653","1.1662","1.1625","1.1648"
10/30/2017,"1.1610","1.1660","1.1598","1.1651"
10/27/2017,"1.1652","1.1659","1.1575","1.1610"
10/26/2017,"1.1815","1.1838","1.1642","1.1653"
10/25/2017,"1.1763","1.1819","1.1753","1.1813"
10/24/2017,"1.1750","1.1794","1.1743","1.1761"
10/23/2017,"1.1783","1.1783","1.1726","1.1751"
10/20/2017,"1.1854","1.1858","1.1764","1.1783"
10/19/2017,"1.1789","1.1859","1.1769","1.1853"
10/18/2017,"1.1769","1.1807","1.1731","1.1787"
10/17/2017,"1.1796","1.1802","1.1737","1.1766"
10/16/2017,"1.1821","1.1821","1.1782","1.1798"
