Date,Open,High,Low,Close
03/29/2018,"2,614.41","2,659.07","2,609.72","2,640.87"
03/28/2018,"2,611.30","2,632.65","2,593.06","2,605.00"
03/27/2018,"2,667.57","2,674.78","2,596.12","2,612.62"
03/26/2018,"2,619.35","2,661.36","2,601.81","2,658.55"
03/23/2018,"2,646.71","2,657.67","2,585.89","2,588.26"
03/22/2018,"2,691.36","2,695.68","2,641.59","2,643.69"
03/21/2018,"2,714.99","2,739.14","2,709.79","2,711.93"
03/20/2018,"2,715.05","2,724.22","2,710.05","2,716.94"
03/19/2018,"2,741.38","2,741.38","2,694.59","2,712.92"
03/16/2018,"2,750.57","2,761.85","2,749.97","2,752.01"
03/15/2018,"2,754.27","2,763.03","2,741.47","2,747.33"
03/14/2018,"2,774.06","2,777.11","2,744.38","2,749.48"
03/13/2018,"2,792.31","2,801.90","2,758.68","2,765.31"
03/12/2018,"2,790.54","2,796.98","2,779.26","2,783.02"
03/09/2018,"2,752.91","2,786.57","2,751.54","2,786.57"
03/08/2018,"2,732.75","2,740.45","2,722.65","2,738.97"
03/07/2018,"2,710.18","2,730.60","2,701.74","2,726.80"
03/06/2018,"2,730.18","2,732.08","2,711.26","2,728.12"
03/05/2018,"2,681.06","2,728.09","2,675.75","2,720.94"
03/02/2018,"2,658.89","2,696.25","2,647.32","2,691.25"
03/01/2018,"2,715.22","2,730.89","2,659.65","2,677.67"
02/28/2018,"2,753.78","2,761.52","2,713.54","2,713.83"
02/27/2018,"2,780.45","2,789.15","2,744.22","2,744.28"
02/26/2018,"2,757.37","2,780.64","2,753.78","2,779.60"
02/23/2018,"2,715.80","2,747.76","2,713.74","2,747.30"
02/22/2018,"2,710.42","2,731.26","2,697.77","2,703.96"
02/21/2018,"2,720.53","2,747.75","2,701.29","2,701.33"
02/20/2018,"2,726.01","2,737.60","2,706.76","2,716.26"
02/16/2018,"2,727.14","2,754.42","2,725.11","2,732.22"
02/15/2018,"2,713.46","2,731.51","2,689.82","2,731.20"
02/14/2018,"2,651.21","2,702.10","2,648.87","2,698.63"
02/13/2018,"2,646.27","2,668.84","2,637.08","2,662.94"
02/12/2018,"2,636.75","2,672.61","2,622.45","2,656.00"
02/09/2018,"2,601.78","2,638.67","2,532.69","2,619.55"
02/08/2018,"2,685.01","2,685.27","2,580.56","2,581.00"
02/07/2018,"2,690.95","2,727.67","2,681.33","2,681.66"
02/06/2018,"2,614.78","2,701.04","2,593.07","2,695.14"
02/05/2018,"2,741.06","2,763.39","2,638.17","2,648.94"
02/02/2018,"2,808.92","2,808.92","2,759.97","2,762.13"
02/01/2018,"2,816.45","2,835.96","2,812.70","2,821.98"
01/31/2018,"2,832.41","2,839.26","2,813.04","2,823.81"
01/30/2018,"2,832.74","2,837.75","2,818.27","2,822.43"
01/29/2018,"2,867.23","2,870.62","2,851.48","2,853.53"
01/26/2018,"2,847.48","2,872.87","2,846.18","2,872.87"
01/25/2018,"2,846.24","2,848.56","2,830.94","2,839.25"
01/24/2018,"2,845.42","2,852.97","2,824.81","2,837.54"
01/23/2018,"2,835.05","2,842.24","2,830.59","2,839.13"
01/22/2018,"2,809.16","2,833.03","2,808.12","2,832.97"
01/19/2018,"2,802.60","2,810.33","2,798.08","2,810.30"
01/18/2018,"2,802.40","2,805.83","2,792.56","2,798.03"
01/17/2018,"2,784.99","2,807.04","2,778.38","2,802.56"
01/16/2018,"2,798.96","2,807.54","2,768.64","2,776.42"
01/12/2018,"2,770.18","2,787.85","2,769.64","2,786.24"
01/11/2018,"2,752.97","2,767.56","2,752.78","2,767.56"
01/10/2018,"2,745.55","2,750.80","2,736.06","2,748.23"
01/09/2018,"2,751.15","2,759.14","2,747.86","2,751.29"
01/08/2018,"2,742.67","2,748.51","2,737.60","2,747.71"
01/05/2018,"2,731.33","2,743.45","2,727.92","2,743.15"
01/04/2018,"2,719.31","2,729.29","2,719.07","2,723.99"
01/03/2018,"2,697.85","2,714.37","2,697.77","2,713.06"
01/02/2018,"2,683.73","2,695.89","2,682.36","2,695.81"
12/29/2017,"2,689.15","2,692.12","2,673.61","2,673.61"
12/28/2017,"2,686.10","2,687.66","2,682.69","2,687.54"
12/27/2017,"2,682.10","2,685.64","2,678.91","2,682.62"
12/26/2017,"2,679.09","2,682.74","2,677.96","2,680.50"
12/22/2017,"2,684.22","2,685.35","2,678.13","2,683.34"
12/21/2017,"2,683.02","2,692.64","2,682.40","2,684.57"
12/20/2017,"2,688.18","2,691.01","2,676.11","2,679.25"
12/19/2017,"2,692.71","2,694.44","2,680.74","2,681.47"
12/18/2017,"2,685.92","2,694.97","2,685.92","2,690.16"
12/15/2017,"2,660.63","2,679.63","2,659.14","2,675.81"
12/14/2017,"2,665.87","2,668.09","2,652.01","2,652.01"
12/13/2017,"2,667.59","2,671.88","2,662.85","2,662.85"
12/12/2017,"2,661.73","2,669.72","2,659.78","2,664.11"
12/11/2017,"2,652.19","2,660.33","2,651.47","2,659.99"
12/08/2017,"2,646.21","2,651.65","2,644.10","2,651.50"
12/07/2017,"2,628.38","2,640.99","2,626.53","2,636.98"
12/06/2017,"2,626.24","2,634.41","2,624.75","2,629.27"
12/05/2017,"2,639.78","2,648.72","2,627.73","2,629.57"
12/04/2017,"2,657.19","2,665.19","2,639.03","2,639.44"
12/01/2017,"2,645.10","2,650.62","2,605.52","2,642.22"
11/30/2017,"2,633.93","2,657.74","2,633.93","2,647.58"
11/29/2017,"2,627.82","2,634.89","2,620.32","2,626.07"
11/28/2017,"2,605.94","2,627.69","2,605.44","2,627.04"
11/27/2017,"2,602.66","2,606.41","2,598.87","2,601.42"
11/24/2017,"2,600.42","2,604.21","2,600.42","2,602.42"
11/22/2017,"2,600.31","2,600.94","2,595.23","2,597.08"
11/21/2017,"2,589.17","2,601.19","2,589.17","2,599.03"
11/20/2017,"2,579.49","2,584.64","2,578.24","2,582.14"
11/17/2017,"2,582.94","2,583.96","2,577.62","2,578.85"
11/16/2017,"2,572.95","2,590.09","2,572.95","2,585.64"
11/15/2017,"2,569.45","2,572.84","2,557.45","2,564.62"
11/14/2017,"2,577.75","2,579.66","2,566.56","2,578.87"
11/13/2017,"2,576.53","2,587.66","2,574.48","2,584.84"
11/10/2017,"2,580.18","2,583.81","2,575.57","2,582.30"
11/09/2017,"2,584.00","2,586.50","2,566.33","2,584.62"
11/08/2017,"2,588.71","2,595.47","2,585.02","2,594.38"
11/07/2017,"2,592.11","2,597.02","2,584.35","2,590.64"
11/06/2017,"2,587.47","2,593.38","2,585.66","2,591.13"
11/03/2017,"2,581.93","2,588.42","2,576.77","2,587.84"
11/02/2017,"2,579.46","2,581.11","2,566.17","2,579.85"
11/01/2017,"2,583.21","2,588.40","2,574.92","2,579.36"
10/31/2017,"2,575.99","2,578.29","2,572.15","2,575.26"
10/30/2017,"2,577.75","2,580.03","2,568.25","2,572.83"
10/27/2017,"2,570.26","2,582.98","2,565.94","2,581.07"
10/26/2017,"2,560.08","2,567.07","2,559.80","2,560.40"
10/25/2017,"2,566.52","2,567.40","2,544.00","2,557.15"
10/24/2017,"2,568.66","2,572.18","2,565.58","2,569.13"
10/23/2017,"2,578.08","2,578.29","2,564.33","2,564.98"
10/20/2017,"2,567.56","2,575.44","2,567.56","2,575.21"
10/19/2017,"2,553.39","2,562.36","2,547.92","2,562.10"
10/18/2017,"2,562.87","2,564.11","2,559.67","2,561.26"
10/17/2017,"2,557.17","2,559.71","2,554.69","2,559.36"
10/16/2017,"2,555.57","2,559.47","2,552.64","2,557.64"
10/13/2017,"2,555.66","2,557.65","2,552.09","2,553.17"
10/12/2017,"2,552.88","2,555.33","2,548.31","2,550.93"
10/11/2017,"2,550.62","2,555.24","2,547.95","2,555.24"
10/10/2017,"2,549.99","2,555.23","2,544.86","2,550.64"
10/09/2017,"2,551.39","2,551.82","2,541.60","2,544.73"
10/06/2017,"2,547.44","2,549.41","2,543.79","2,549.33"
10/05/2017,"2,540.86","2,552.51","2,540.02","2,552.07"
10/04/2017,"2,533.48","2,540.53","2,531.80","2,537.74"
10/03/2017,"2,530.34","2,535.13","2,528.85","2,534.58"
10/02/2017,"2,521.20","2,529.23","2,520.40","2,529.12"
09/29/2017,"2,509.96","2,519.44","2,507.99","2,519.36"
09/28/2017,"2,503.41","2,510.81","2,502.93","2,510.06"
09/27/2017,"2,503.30","2,511.75","2,495.91","2,507.04"
09/26/2017,"2,501.04","2,503.51","2,495.12","2,496.84"
09/25/2017,"2,499.39","2,502.54","2,488.03","2,496.66"
09/22/2017,"2,497.26","2,503.47","2,496.54","2,502.22"
09/21/2017,"2,507.16","2,507.16","2,499.00","2,500.60"
09/20/2017,"2,506.84","2,508.85","2,496.67","2,508.24"
09/19/2017,"2,506.29","2,507.84","2,503.19","2,506.65"
09/18/2017,"2,502.51","2,508.32","2,499.92","2,503.87"
09/15/2017,"2,495.67","2,500.23","2,493.16","2,500.23"
09/14/2017,"2,494.56","2,498.43","2,491.35","2,495.62"
09/13/2017,"2,493.89","2,498.37","2,492.14","2,498.37"
09/12/2017,"2,491.94","2,496.77","2,490.37","2,496.48"
09/11/2017,"2,474.52","2,488.95","2,474.52","2,488.11"
09/08/2017,"2,462.25","2,467.11","2,459.40","2,461.43"
09/07/2017,"2,468.06","2,468.62","2,460.29","2,465.10"
09/06/2017,"2,463.83","2,469.64","2,459.20","2,465.54"
09/05/2017,"2,470.35","2,471.97","2,446.55","2,457.85"
09/01/2017,"2,474.42","2,480.38","2,473.85","2,476.55"
08/31/2017,"2,462.65","2,475.01","2,462.65","2,471.65"
08/30/2017,"2,446.06","2,460.31","2,443.77","2,457.59"
08/29/2017,"2,431.94","2,449.19","2,428.20","2,446.30"
08/28/2017,"2,447.35","2,449.12","2,439.03","2,444.24"
08/25/2017,"2,444.72","2,453.96","2,442.22","2,443.05"
08/24/2017,"2,447.91","2,450.39","2,436.19","2,438.97"
08/23/2017,"2,444.88","2,448.91","2,441.42","2,444.04"
08/22/2017,"2,433.75","2,454.77","2,433.67","2,452.51"
08/21/2017,"2,425.50","2,430.58","2,417.35","2,428.37"
08/18/2017,"2,427.64","2,440.27","2,420.69","2,425.55"
08/17/2017,"2,462.95","2,465.02","2,430.01","2,430.01"
08/16/2017,"2,468.63","2,474.93","2,463.86","2,468.11"
08/15/2017,"2,468.66","2,468.90","2,461.61","2,464.61"
08/14/2017,"2,454.96","2,468.22","2,454.96","2,465.84"
08/11/2017,"2,441.04","2,448.09","2,437.85","2,441.32"
08/10/2017,"2,465.38","2,465.38","2,437.75","2,438.21"
08/09/2017,"2,465.35","2,474.41","2,462.08","2,474.02"
08/08/2017,"2,478.35","2,490.87","2,470.32","2,474.92"
08/07/2017,"2,477.14","2,480.95","2,475.88","2,480.91"
08/04/2017,"2,476.88","2,480.00","2,472.08","2,476.83"
08/03/2017,"2,476.03","2,476.03","2,468.85","2,472.16"
08/02/2017,"2,480.38","2,480.38","2,466.48","2,477.57"
08/01/2017,"2,477.10","2,478.51","2,471.14","2,476.35"
