Date,Open,High,Low,Close
04/01/2016,"1,234.10","1,237.20","1,210.30","1,223.50"
03/31/2016,"1,227.00","1,242.30","1,225.10","1,235.60"
03/30/2016,"1,243.00","1,246.80","1,224.90","1,228.60"
03/29/2016,"1,221.50","1,243.40","1,215.30","1,235.80"
03/28/2016,"1,216.00","1,223.20","1,206.00","1,220.10"
03/24/2016,"1,220.70","1,224.20","1,211.20","1,221.60"
03/23/2016,"1,248.50","1,249.80","1,215.40","1,224.00"
03/22/2016,"1,244.30","1,260.90","1,242.80","1,248.60"
03/21/2016,"1,255.20","1,256.70","1,241.20","1,244.20"
03/18/2016,"1,257.70","1,267.70","1,248.40","1,254.30"
03/17/2016,"1,262.00","1,271.90","1,255.20","1,265.00"
03/16/2016,"1,233.10","1,264.80","1,227.00","1,229.80"
03/15/2016,"1,237.00","1,238.70","1,226.00","1,231.00"
03/14/2016,"1,250.90","1,261.90","1,229.90","1,245.10"
03/11/2016,"1,272.00","1,287.80","1,249.00","1,259.40"
03/10/2016,"1,253.70","1,274.30","1,237.50","1,272.80"
03/09/2016,"1,262.20","1,265.70","1,243.60","1,257.40"
03/08/2016,"1,267.90","1,279.00","1,261.00","1,262.90"
03/07/2016,"1,260.50","1,274.10","1,257.40","1,264.00"
03/04/2016,"1,264.60","1,280.70","1,250.10","1,270.70"
03/03/2016,"1,240.80","1,269.30","1,238.00","1,258.20"
03/02/2016,"1,232.30","1,244.80","1,225.10","1,241.80"
03/01/2016,"1,238.90","1,249.30","1,227.70","1,230.80"
02/29/2016,"1,223.10","1,241.80","1,216.30","1,234.40"
02/26/2016,"1,232.50","1,241.30","1,212.00","1,220.40"
02/25/2016,"1,228.90","1,244.40","1,221.80","1,238.80"
02/24/2016,"1,226.00","1,254.30","1,222.40","1,239.10"
02/23/2016,"1,208.90","1,229.00","1,207.60","1,222.60"
02/22/2016,"1,226.90","1,226.90","1,202.50","1,210.10"
02/19/2016,"1,231.20","1,235.30","1,220.60","1,230.80"
02/18/2016,"1,209.50","1,240.60","1,201.30","1,226.30"
02/17/2016,"1,201.90","1,214.40","1,196.20","1,211.40"
02/16/2016,"1,209.40","1,236.30","1,191.50","1,208.20"
02/12/2016,"1,247.10","1,248.70","1,232.90","1,239.40"
02/11/2016,"1,197.50","1,263.90","1,196.30","1,247.80"
02/10/2016,"1,189.70","1,198.10","1,181.60","1,194.60"
02/09/2016,"1,189.50","1,199.30","1,185.90","1,198.60"
02/08/2016,"1,174.00","1,201.40","1,164.50","1,197.90"
02/05/2016,"1,155.70","1,175.00","1,145.50","1,157.70"
02/04/2016,"1,142.50","1,157.90","1,139.70","1,157.50"
02/03/2016,"1,129.40","1,146.20","1,124.80","1,141.30"
02/02/2016,"1,128.50","1,131.50","1,122.60","1,127.20"
02/01/2016,"1,118.00","1,130.20","1,115.30","1,128.00"
01/29/2016,"1,114.80","1,118.90","1,108.50","1,116.40"
01/28/2016,"1,125.40","1,125.70","1,109.80","1,115.60"
01/27/2016,"1,119.90","1,128.00","1,114.90","1,115.80"
01/26/2016,"1,108.20","1,123.20","1,107.20","1,120.20"
01/25/2016,"1,097.80","1,109.20","1,094.40","1,105.30"
01/22/2016,"1,101.60","1,103.50","1,094.40","1,096.30"
01/21/2016,"1,100.90","1,104.80","1,092.50","1,098.20"
01/20/2016,"1,087.30","1,109.90","1,087.10","1,106.20"
01/19/2016,"1,089.00","1,094.50","1,082.10","1,089.10"
01/15/2016,"1,079.20","1,097.50","1,076.00","1,090.70"
01/14/2016,"1,093.60","1,095.40","1,071.10","1,073.60"
01/13/2016,"1,086.80","1,095.60","1,079.40","1,087.10"
01/12/2016,"1,094.00","1,099.10","1,083.10","1,085.20"
01/11/2016,"1,103.60","1,108.30","1,093.10","1,096.20"
01/08/2016,"1,108.80","1,113.10","1,091.80","1,097.90"
01/07/2016,"1,093.70","1,109.90","1,091.10","1,107.80"
01/06/2016,"1,076.80","1,094.90","1,074.40","1,091.90"
01/05/2016,"1,073.50","1,081.50","1,071.90","1,078.40"
01/04/2016,"1,061.50","1,083.00","1,061.00","1,075.20"
12/31/2015,"1,060.60","1,062.70","1,056.50","1,060.20"
12/30/2015,"1,068.20","1,071.50","1,058.50","1,059.80"
12/29/2015,"1,068.30","1,074.60","1,066.70","1,068.00"
12/28/2015,"1,075.20","1,076.50","1,065.70","1,068.30"
12/24/2015,"1,069.60","1,076.60","1,069.50","1,075.90"
12/23/2015,"1,072.00","1,074.90","1,067.60","1,068.30"
12/22/2015,"1,078.00","1,080.30","1,071.20","1,074.10"
12/21/2015,"1,065.20","1,081.40","1,063.10","1,080.60"
