Date,Open,High,Low,Close
04/01/2020,"1,589.40","1,612.40","1,576.00","1,591.40"
03/31/2020,"1,643.40","1,645.60","1,588.20","1,596.60"
03/30/2020,"1,663.40","1,673.60","1,632.00","1,643.20"
03/27/2020,"1,640.40","1,647.20","1,611.40","1,625.00"
03/26/2020,"1,642.50","1,672.50","1,611.00","1,651.20"
03/25/2020,"1,666.20","1,699.30","1,615.20","1,633.40"
03/24/2020,"1,563.80","1,698.00","1,560.50","1,660.80"
03/23/2020,"1,505.00","1,569.30","1,484.60","1,567.60"
03/20/2020,"1,471.60","1,519.40","1,457.50","1,484.60"
03/19/2020,"1,487.20","1,502.80","1,460.10","1,479.30"
03/18/2020,"1,527.60","1,547.00","1,473.30","1,477.90"
03/17/2020,"1,512.80","1,554.30","1,465.60","1,525.80"
03/16/2020,"1,563.80","1,574.80","1,450.90","1,486.50"
03/13/2020,"1,582.70","1,597.90","1,504.00","1,516.70"
03/12/2020,"1,633.10","1,651.00","1,560.40","1,590.30"
03/11/2020,"1,649.30","1,671.80","1,632.40","1,642.30"
03/10/2020,"1,679.60","1,681.30","1,641.10","1,660.30"
03/09/2020,"1,692.60","1,704.30","1,658.00","1,675.70"
03/06/2020,"1,673.10","1,692.80","1,667.80","1,672.40"
03/05/2020,"1,638.20","1,675.50","1,635.60","1,668.00"
03/04/2020,"1,640.10","1,654.30","1,632.60","1,643.00"
03/03/2020,"1,586.00","1,650.50","1,585.90","1,644.40"
03/02/2020,"1,592.80","1,612.10","1,576.30","1,594.80"
02/28/2020,"1,646.10","1,651.00","1,572.30","1,642.50"
02/27/2020,"1,643.00","1,662.50","1,636.70","1,642.50"
02/26/2020,"1,637.30","1,657.10","1,626.60","1,643.10"
02/25/2020,"1,661.80","1,666.70","1,627.00","1,650.00"
02/24/2020,"1,656.00","1,691.70","1,652.80","1,676.60"
02/21/2020,"1,623.60","1,652.10","1,621.60","1,648.80"
02/20/2020,"1,615.00","1,626.50","1,606.60","1,620.50"
02/19/2020,"1,604.80","1,615.90","1,602.40","1,611.80"
02/18/2020,"1,587.50","1,608.20","1,584.80","1,603.60"
02/14/2020,"1,579.00","1,588.20","1,576.00","1,586.40"
02/13/2020,"1,569.80","1,581.70","1,568.50","1,578.80"
02/12/2020,"1,571.20","1,573.60","1,564.40","1,571.60"
