,"[31, 7, 2, 6, 53, 12, 4, 1]_[('Days_from_start', <DataTypes.REAL_VALUED: 0>, <InputTypes.ID: 4>), ('Date', <DataTypes.DATE: 2>, <InputTypes.TIME: 5>), ('Open_SP500', <DataTypes.REAL_VALUED: 0>, <InputTypes.TARGET: 0>), ('Day', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>), ('Weekday', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>), ('Is_holiday', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>), ('Week_of_month', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>), ('Week_of_year', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>), ('Month', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>), ('Quarter', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>), ('Country', <DataTypes.CATEGORICAL: 1>, <InputTypes.STATIC_INPUT: 3>)]_0.3_5_5_[0]_9_[0, 1, 2, 3, 4, 5, 6, 7]_[]_0.01_0.01_64_../saved_models\economy\fixed_5_3652_1_1_1_1_[8]_3680"
loss,0.5404312610626221
info,
