ID,Date,Open_SP500,High_SP500,Low_SP500,Close_SP500,Open_Gold,High_Gold,Low_Gold,Close_Gold,Open_EURUSD,High_EURUSD,Low_EURUSD,Close_EURUSD,Day,Weekday,Is_weekend,Is_holiday,Week_of_month,Week_of_year,Month,Quarter,Year
35,2012-05-07,1368.79,1373.91,1363.94,1369.58,1641.6,1644.0,1632.2,1639.1,1.3084,1.3084,1.3052,1.3052,7,2,0,0,2,19,5,2,2012
36,2012-05-08,1369.16,1369.16,1347.75,1363.72,1638.9,1639.5,1595.5,1604.5,1.3052,1.3052,1.3006,1.3006,8,3,0,0,2,19,5,2,2012
37,2012-05-09,1363.2,1363.73,1343.13,1354.58,1605.9,1607.0,1578.5,1594.2,1.3006,1.3006,1.2932,1.2932,9,4,0,0,2,19,5,2,2012
38,2012-05-10,1354.58,1365.88,1354.58,1357.99,1589.7,1602.2,1585.0,1595.5,1.2932,1.2937,1.2932,1.2937,10,5,0,0,2,19,5,2,2012
39,2012-05-11,1358.11,1365.66,1348.89,1353.39,1593.5,1595.2,1572.0,1584.0,1.2937,1.2937,1.2918,1.2918,11,6,0,0,2,19,5,2,2012
40,2012-05-12,,,,,,,,,,,,,12,7,1,0,2,19,5,2,2012
41,2012-05-13,,,,,,,,,,,,,13,1,1,0,3,20,5,2,2012
42,2012-05-14,1351.93,1351.93,1336.61,1338.35,1585.5,1585.8,1555.0,1561.0,1.2918,1.2918,1.2824,1.2824,14,2,0,0,3,20,5,2,2012
43,2012-05-15,1338.36,1344.94,1328.41,1330.66,1557.2,1564.4,1541.2,1557.1,1.2824,1.2824,1.2731,1.2731,15,3,0,0,3,20,5,2,2012
44,2012-05-16,1330.78,1341.78,1324.79,1324.8,1544.9,1552.2,1526.7,1536.6,1.2731,1.2731,1.2717,1.2717,16,4,0,0,3,20,5,2,2012
45,2012-05-17,1324.82,1326.36,1304.86,1304.86,1538.6,1579.8,1538.4,1574.9,1.2717,1.2717,1.2698,1.2698,17,5,0,0,3,20,5,2,2012
46,2012-05-18,1305.05,1312.24,1291.98,1295.22,1574.5,1597.5,1567.8,1591.9,1.2698,1.2785,1.2698,1.2785,18,6,0,0,3,20,5,2,2012
47,2012-05-19,,,,,,,,,,,,,19,7,1,0,3,20,5,2,2012
48,2012-05-20,,,,,,,,,,,,,20,1,1,0,4,21,5,2,2012
49,2012-05-21,1295.73,1316.39,1295.73,1315.99,1590.2,1599.0,1584.5,1588.7,1.2785,1.2819,1.2785,1.2819,21,2,0,0,4,21,5,2,2012
50,2012-05-22,1316.09,1328.49,1310.04,1316.63,1593.0,1594.4,1561.0,1576.6,1.2819,1.2819,1.2685,1.2685,22,3,0,0,4,21,5,2,2012
51,2012-05-23,1316.02,1320.71,1296.53,1318.86,1567.4,1568.5,1532.8,1548.4,1.2685,1.2685,1.2582,1.2582,23,4,0,0,4,21,5,2,2012
52,2012-05-24,1318.72,1324.14,1310.5,1320.68,1560.8,1577.7,1551.0,1557.5,1.2582,1.2582,1.2532,1.2532,24,5,0,0,4,21,5,2,2012
53,2012-05-25,1320.81,1324.2,1314.23,1317.82,1557.6,1573.7,1550.7,1568.9,1.2532,1.2532,1.2519,1.2519,25,6,0,0,4,21,5,2,2012
54,2012-05-26,,,,,,,,,,,,,26,7,1,0,4,21,5,2,2012
55,2012-05-27,,,,,,,,,,,,,27,1,1,0,5,22,5,2,2012
56,2012-05-28,,,,,,,,,1.2519,1.2542,1.2519,1.2542,28,2,0,1,5,22,5,2,2012
57,2012-05-29,1318.9,1334.93,1318.9,1332.42,1573.6,1583.5,1545.7,1548.7,1.2542,1.2542,1.2504,1.2504,29,3,0,0,5,22,5,2,2012
58,2012-05-30,1331.25,1331.25,1310.76,1313.32,1553.9,1569.0,1530.4,1563.4,1.2504,1.2504,1.2368,1.2368,30,4,0,0,5,22,5,2,2012
59,2012-05-31,1313.09,1319.74,1298.9,1310.33,1564.1,1574.6,1553.0,1564.2,1.2368,1.2368,1.2365,1.2365,31,5,0,0,5,22,5,2,2012
60,2012-06-01,1309.87,1309.87,1277.25,1278.04,1561.8,1632.0,1545.5,1622.1,1.2365,1.2436,1.2365,1.2436,1,6,0,0,1,22,6,2,2012
61,2012-06-02,,,,,,,,,,,,,2,7,1,0,1,22,6,2,2012
62,2012-06-03,,,,,,,,,,,,,3,1,1,0,2,23,6,2,2012
63,2012-06-04,1278.29,1282.55,1266.74,1278.18,1626.8,1629.7,1610.0,1613.9,1.2436,1.25,1.2436,1.25,4,2,0,0,2,23,6,2,2012
64,2012-06-05,1277.82,1287.62,1274.16,1285.5,1619.9,1624.8,1612.5,1616.9,1.25,1.25,1.2452,1.2452,5,3,0,0,2,23,6,2,2012
65,2012-06-06,1285.61,1315.13,1285.61,1315.13,1618.5,1642.4,1614.4,1634.2,1.2452,1.2583,1.2452,1.2583,6,4,0,0,2,23,6,2,2012
66,2012-06-07,1316.15,1329.05,1312.68,1314.99,1621.4,1630.7,1579.4,1588.0,1.2583,1.2583,1.2563,1.2563,7,5,0,0,2,23,6,2,2012
67,2012-06-08,1314.99,1325.81,1307.77,1325.66,1590.3,1596.3,1556.4,1591.4,1.2563,1.2563,1.2519,1.2519,8,6,0,0,2,23,6,2,2012
68,2012-06-09,,,,,,,,,,,,,9,7,1,0,2,23,6,2,2012
69,2012-06-10,,,,,,,,,,,,,10,1,1,0,3,24,6,2,2012
70,2012-06-11,1325.72,1335.52,1307.73,1308.93,1602.8,1609.3,1582.7,1596.8,1.2519,1.2519,1.2483,1.2483,11,2,0,0,3,24,6,2,2012
71,2012-06-12,1309.4,1324.31,1306.62,1324.18,1597.6,1618.9,1586.4,1613.8,1.2483,1.2504,1.2483,1.2504,12,3,0,0,3,24,6,2,2012
72,2012-06-13,1324.02,1327.28,1310.51,1314.88,1611.1,1626.0,1607.0,1619.4,1.2504,1.2557,1.2504,1.2557,13,4,0,0,3,24,6,2,2012
73,2012-06-14,1314.88,1333.68,1314.14,1329.1,1619.0,1629.0,1610.4,1619.6,1.2557,1.2633,1.2557,1.2633,14,5,0,0,3,24,6,2,2012
74,2012-06-15,1329.19,1343.32,1329.19,1342.84,1624.0,1635.4,1620.4,1628.1,1.2633,1.2638,1.2633,1.2638,15,6,0,0,3,24,6,2,2012
75,2012-06-16,,,,,,,,,,,,,16,7,1,0,3,24,6,2,2012
76,2012-06-17,,,,,,,,,,,,,17,1,1,0,4,25,6,2,2012
77,2012-06-18,1342.42,1348.22,1334.46,1344.78,1630.0,1631.3,1606.9,1627.0,1.2638,1.2638,1.2578,1.2578,18,2,0,0,4,25,6,2,2012
78,2012-06-19,1344.83,1363.46,1344.83,1357.98,1627.3,1634.3,1618.1,1623.2,1.2578,1.2686,1.2578,1.2686,19,3,0,0,4,25,6,2,2012
79,2012-06-20,1358.04,1361.57,1346.45,1355.69,1619.3,1623.6,1590.5,1615.8,1.2686,1.2708,1.2686,1.2708,20,4,0,0,4,25,6,2,2012
80,2012-06-21,1355.43,1358.27,1324.41,1325.51,1607.7,1608.2,1564.8,1565.5,1.2708,1.2708,1.254,1.254,21,5,0,0,4,25,6,2,2012
81,2012-06-22,1325.92,1337.82,1325.92,1335.02,1565.7,1574.1,1558.6,1566.9,1.254,1.2572,1.254,1.2572,22,6,0,0,4,25,6,2,2012
82,2012-06-23,,,,,,,,,,,,,23,7,1,0,4,25,6,2,2012
83,2012-06-24,,,,,,,,,,,,,24,1,1,0,5,26,6,2,2012
84,2012-06-25,1334.9,1334.9,1309.27,1313.72,1572.6,1589.0,1566.9,1588.4,1.2572,1.2572,1.2505,1.2505,25,2,0,0,5,26,6,2,2012
85,2012-06-26,1314.09,1324.24,1310.3,1319.99,1588.4,1588.4,1568.2,1574.9,1.2505,1.2505,1.2495,1.2495,26,3,0,0,5,26,6,2,2012
86,2012-06-27,1320.71,1334.4,1320.71,1331.85,1572.6,1584.6,1563.1,1578.4,1.2495,1.2495,1.247,1.247,27,4,0,0,5,26,6,2,2012
87,2012-06-28,1331.52,1331.52,1313.29,1329.04,1574.6,1579.6,1547.6,1550.4,1.247,1.247,1.2445,1.2445,28,5,0,0,5,26,6,2,2012
88,2012-06-29,1330.12,1362.17,1330.12,1362.16,1551.8,1607.8,1551.3,1604.2,1.2445,1.2665,1.2445,1.2665,29,6,0,0,5,26,6,2,2012
89,2012-06-30,,,,,,,,,,,,,30,7,1,0,5,26,6,2,2012
90,2012-07-01,,,,,,,,,,,,,1,1,1,0,1,27,7,3,2012
91,2012-07-02,1362.33,1366.35,1355.7,1365.51,1599.6,1603.6,1587.4,1597.7,1.2665,1.2665,1.2576,1.2576,2,2,0,0,1,27,7,3,2012
92,2012-07-03,1365.75,1374.81,1363.53,1374.02,1597.5,1625.7,1595.3,1621.8,1.2576,1.261,1.2576,1.261,3,3,0,0,1,27,7,3,2012
93,2012-07-04,,,,,,,,,1.261,1.261,1.2529,1.2529,4,4,0,1,1,27,7,3,2012
94,2012-07-05,1373.72,1373.85,1363.02,1367.58,1617.0,1624.5,1597.5,1609.4,1.2529,1.2529,1.2393,1.2393,5,5,0,0,1,27,7,3,2012
95,2012-07-06,1367.09,1367.09,1348.03,1354.68,1605.2,1610.6,1576.4,1578.9,1.2393,1.2393,1.2291,1.2291,6,6,0,0,1,27,7,3,2012
96,2012-07-07,,,,,,,,,,,,,7,7,1,0,1,27,7,3,2012
97,2012-07-08,,,,,,,,,,,,,8,1,1,0,2,28,7,3,2012
98,2012-07-09,1354.66,1354.87,1346.65,1352.46,1582.4,1593.1,1576.0,1589.1,1.2291,1.2314,1.2291,1.2314,9,2,0,0,2,28,7,3,2012
99,2012-07-10,1352.96,1361.54,1336.27,1341.47,1589.1,1602.0,1564.4,1579.8,1.2314,1.2314,1.2251,1.2251,10,3,0,0,2,28,7,3,2012
100,2012-07-11,1341.4,1345.0,1333.25,1341.45,1565.8,1583.4,1565.5,1575.7,1.2251,1.2251,1.2241,1.2241,11,4,0,0,2,28,7,3,2012
101,2012-07-12,1341.29,1341.29,1325.41,1334.76,1576.3,1577.9,1554.4,1565.3,1.2241,1.2241,1.2204,1.2204,12,5,0,0,2,28,7,3,2012
102,2012-07-13,1334.81,1357.7,1334.81,1356.78,1571.2,1596.5,1565.6,1592.0,1.2204,1.2249,1.2204,1.2249,13,6,0,0,2,28,7,3,2012
103,2012-07-14,,,,,,,,,,,,,14,7,1,0,2,28,7,3,2012
104,2012-07-15,,,,,,,,,,,,,15,1,1,0,3,29,7,3,2012
105,2012-07-16,1356.5,1357.26,1348.51,1353.64,1591.5,1594.6,1577.2,1591.6,1.2249,1.2273,1.2249,1.2273,16,2,0,0,3,29,7,3,2012
106,2012-07-17,1353.68,1365.36,1345.07,1363.67,1588.6,1598.8,1571.0,1589.5,1.2273,1.2296,1.2273,1.2296,17,3,0,0,3,29,7,3,2012
107,2012-07-18,1363.58,1375.26,1358.96,1372.78,1583.0,1585.7,1567.2,1570.8,1.2296,1.2296,1.2286,1.2286,18,4,0,0,3,29,7,3,2012
108,2012-07-19,1373.01,1380.39,1371.21,1376.51,1573.0,1591.5,1572.1,1580.4,1.2286,1.2286,1.2282,1.2282,19,5,0,0,3,29,7,3,2012
109,2012-07-20,1376.51,1376.51,1362.19,1362.66,1581.0,1586.7,1572.6,1582.8,1.2282,1.2282,1.2157,1.2157,20,6,0,0,3,29,7,3,2012
110,2012-07-21,,,,,,,,,,,,,21,7,1,0,3,29,7,3,2012
111,2012-07-22,,,,,,,,,,,,,22,1,1,0,4,30,7,3,2012
112,2012-07-23,1362.34,1362.34,1337.56,1350.52,1581.6,1582.4,1562.0,1577.4,1.2157,1.2157,1.2118,1.2118,23,2,0,0,4,30,7,3,2012
113,2012-07-24,1350.52,1351.53,1329.24,1338.31,1575.9,1584.0,1567.8,1576.2,1.2118,1.2118,1.2062,1.2062,24,3,0,0,4,30,7,3,2012
114,2012-07-25,1338.35,1343.98,1331.5,1337.89,1580.2,1698.8,1577.9,1608.1,1.2062,1.2158,1.2062,1.2158,25,4,0,0,4,30,7,3,2012
115,2012-07-26,1338.17,1363.13,1338.17,1360.02,1604.5,1621.5,1600.2,1615.1,1.2158,1.2283,1.2158,1.2283,26,5,0,0,4,30,7,3,2012
116,2012-07-27,1360.05,1389.19,1360.05,1385.97,1614.6,1628.6,1610.7,1618.0,1.2283,1.2323,1.2283,1.2323,27,6,0,0,4,30,7,3,2012
117,2012-07-28,,,,,,,,,,,,,28,7,1,0,4,30,7,3,2012
118,2012-07-29,,,,,,,,,,,,,29,1,1,0,5,31,7,3,2012
119,2012-07-30,1385.94,1391.74,1381.37,1385.3,1622.9,1625.8,1613.1,1619.7,1.2323,1.2323,1.2261,1.2261,30,2,0,0,5,31,7,3,2012
120,2012-07-31,1385.27,1387.16,1379.17,1379.32,1625.6,1631.6,1614.2,1614.6,1.2261,1.2304,1.2261,1.2304,31,3,0,0,5,31,7,3,2012
121,2012-08-01,1379.32,1385.03,1373.35,1375.14,1617.5,1621.8,1595.0,1607.3,1.2304,1.2304,1.2228,1.2228,1,4,0,0,1,31,8,3,2012
122,2012-08-02,1375.13,1375.13,1354.65,1365.0,1602.8,1618.8,1586.3,1590.7,1.2228,1.2228,1.2182,1.2182,2,5,0,0,1,31,8,3,2012
123,2012-08-03,1365.45,1394.16,1365.45,1390.99,1592.3,1609.9,1588.5,1609.3,1.2182,1.2388,1.2182,1.2388,3,6,0,0,1,31,8,3,2012
124,2012-08-04,,,,,,,,,,,,,4,7,1,0,1,31,8,3,2012
125,2012-08-05,,,,,,,,,,,,,5,1,1,0,2,32,8,3,2012
126,2012-08-06,1391.04,1399.63,1391.04,1394.23,1607.7,1618.4,1605.3,1616.2,1.2388,1.2403,1.2388,1.2403,6,2,0,0,2,32,8,3,2012
127,2012-08-07,1394.46,1407.14,1394.46,1401.35,1614.5,1621.3,1611.0,1612.8,1.2403,1.2403,1.24,1.24,7,3,0,0,2,32,8,3,2012
128,2012-08-08,1401.23,1404.14,1396.13,1402.22,1614.7,1619.5,1605.9,1616.0,1.24,1.24,1.2366,1.2366,8,4,0,0,2,32,8,3,2012
129,2012-08-09,1402.26,1405.95,1398.8,1402.8,1615.1,1621.0,1612.2,1620.2,1.2366,1.2366,1.2307,1.2307,9,5,0,0,2,32,8,3,2012
130,2012-08-10,1402.58,1405.98,1395.62,1405.87,1620.2,1629.7,1606.6,1622.8,1.2307,1.2307,1.2289,1.2289,10,6,0,0,2,32,8,3,2012
131,2012-08-11,,,,,,,,,,,,,11,7,1,0,2,32,8,3,2012
132,2012-08-12,,,,,,,,,,,,,12,1,1,0,3,33,8,3,2012
133,2012-08-13,1405.87,1405.87,1397.32,1404.11,1622.9,1628.2,1609.7,1612.6,1.2289,1.2335,1.2289,1.2335,13,2,0,0,3,33,8,3,2012
134,2012-08-14,1404.36,1410.03,1400.6,1403.93,1612.6,1618.9,1593.6,1602.4,1.2335,1.2335,1.2322,1.2322,14,3,0,0,3,33,8,3,2012
135,2012-08-15,1403.89,1407.73,1401.83,1405.53,1601.2,1608.8,1592.1,1606.6,1.2322,1.2322,1.229,1.229,15,4,0,0,3,33,8,3,2012
136,2012-08-16,1405.57,1417.44,1404.15,1415.51,1605.8,1622.0,1603.0,1619.2,1.229,1.2359,1.229,1.2359,16,5,0,0,3,33,8,3,2012
137,2012-08-17,1415.84,1418.71,1414.67,1418.16,1616.7,1623.0,1613.3,1619.4,1.2359,1.2359,1.2336,1.2336,17,6,0,0,3,33,8,3,2012
138,2012-08-18,,,,,,,,,,,,,18,7,1,0,3,33,8,3,2012
139,2012-08-19,,,,,,,,,,,,,19,1,1,0,4,34,8,3,2012
140,2012-08-20,1417.85,1418.13,1412.12,1418.13,1618.5,1624.7,1611.8,1623.0,1.2336,1.2347,1.2336,1.2347,20,2,0,0,4,34,8,3,2012
141,2012-08-21,1418.13,1426.68,1410.86,1413.17,1623.1,1643.6,1620.8,1642.9,1.2347,1.2474,1.2347,1.2474,21,3,0,0,4,34,8,3,2012
142,2012-08-22,1413.09,1416.12,1406.78,1413.49,1640.2,1658.2,1636.3,1640.5,1.2474,1.253,1.2474,1.253,22,4,0,0,4,34,8,3,2012
143,2012-08-23,1413.49,1413.49,1400.5,1402.08,1654.5,1677.5,1654.5,1672.8,1.253,1.2565,1.253,1.2565,23,5,0,0,4,34,8,3,2012
144,2012-08-24,1401.99,1413.46,1398.04,1411.13,1672.6,1676.3,1665.1,1672.9,1.2565,1.2565,1.2513,1.2513,24,6,0,0,4,34,8,3,2012
145,2012-08-25,,,,,,,,,,,,,25,7,1,0,4,34,8,3,2012
146,2012-08-26,,,,,,,,,,,,,26,1,1,0,5,35,8,3,2012
147,2012-08-27,1411.13,1416.17,1409.11,1410.44,1673.2,1679.3,1665.5,1675.6,1.2513,1.2513,1.2499,1.2499,27,2,0,0,5,35,8,3,2012
148,2012-08-28,1410.44,1413.63,1405.59,1409.3,1666.0,1674.9,1659.1,1669.7,1.2499,1.2566,1.2499,1.2566,28,3,0,0,5,35,8,3,2012
149,2012-08-29,1409.32,1413.95,1406.57,1410.49,1668.8,1672.5,1654.4,1663.0,1.2566,1.2566,1.2531,1.2531,29,4,0,0,5,35,8,3,2012
150,2012-08-30,1410.08,1410.08,1397.01,1399.48,1658.7,1666.7,1652.3,1657.1,1.2531,1.2531,1.2507,1.2507,30,5,0,0,5,35,8,3,2012
151,2012-08-31,1400.07,1413.09,1398.96,1406.58,1657.8,1695.5,1647.1,1687.6,1.2507,1.2577,1.2507,1.2577,31,6,0,0,5,35,8,3,2012
152,2012-09-01,,,,,,,,,,,,,1,7,1,0,1,35,9,3,2012
153,2012-09-02,,,,,,,,,,,,,2,1,1,0,2,36,9,3,2012
154,2012-09-03,,,,,,,,,1.2577,1.2593,1.2577,1.2593,3,2,0,1,2,36,9,3,2012
155,2012-09-04,1406.54,1409.31,1396.56,1404.94,1693.4,1701.6,1687.6,1696.0,1.2593,1.2593,1.2568,1.2568,4,3,0,0,2,36,9,3,2012
156,2012-09-05,1404.94,1408.81,1401.25,1403.44,1697.6,1698.4,1689.6,1694.0,1.2568,1.2601,1.2568,1.2601,5,4,0,0,2,36,9,3,2012
157,2012-09-06,1403.74,1432.12,1403.74,1432.12,1695.7,1716.9,1693.7,1705.6,1.2601,1.2632,1.2601,1.2632,6,5,0,0,2,36,9,3,2012
158,2012-09-07,1432.12,1437.92,1431.45,1437.92,1703.7,1745.4,1691.3,1740.5,1.2632,1.2818,1.2632,1.2818,7,6,0,0,2,36,9,3,2012
159,2012-09-08,,,,,,,,,,,,,8,7,1,0,2,36,9,3,2012
160,2012-09-09,,,,,,,,,,,,,9,1,1,0,3,37,9,3,2012
161,2012-09-10,1437.92,1438.74,1428.98,1429.08,1738.0,1742.3,1727.0,1731.8,1.2818,1.2818,1.276,1.276,10,2,0,0,3,37,9,3,2012
162,2012-09-11,1429.13,1437.76,1429.13,1433.56,1728.7,1740.5,1728.0,1734.9,1.276,1.2856,1.276,1.2856,11,3,0,0,3,37,9,3,2012
163,2012-09-12,1433.56,1439.15,1432.99,1436.56,1734.5,1749.5,1727.3,1733.7,1.2856,1.2901,1.2856,1.2901,12,4,0,0,3,37,9,3,2012
164,2012-09-13,1436.56,1463.76,1435.34,1459.99,1733.1,1775.0,1720.0,1772.1,1.2901,1.2991,1.2901,1.2991,13,5,0,0,3,37,9,3,2012
165,2012-09-14,1460.07,1474.51,1460.07,1465.77,1769.4,1780.2,1767.7,1772.7,1.2991,1.313,1.2991,1.313,14,6,0,0,3,37,9,3,2012
166,2012-09-15,,,,,,,,,,,,,15,7,1,0,3,37,9,3,2012
167,2012-09-16,,,,,,,,,,,,,16,1,1,0,4,38,9,3,2012
168,2012-09-17,1465.42,1465.63,1457.55,1461.19,1773.5,1778.9,1756.2,1770.6,1.313,1.313,1.3118,1.3118,17,2,0,0,4,38,9,3,2012
169,2012-09-18,1461.19,1461.47,1456.13,1459.32,1764.2,1775.9,1753.2,1771.2,1.3118,1.3118,1.3048,1.3048,18,3,0,0,4,38,9,3,2012
170,2012-09-19,1459.5,1465.15,1457.88,1461.05,1773.4,1781.8,1764.2,1771.7,1.3048,1.3051,1.3048,1.3051,19,4,0,0,4,38,9,3,2012
171,2012-09-20,1461.05,1461.23,1449.98,1460.26,1772.4,1774.9,1757.7,1770.2,1.3051,1.3051,1.297,1.297,20,5,0,0,4,38,9,3,2012
172,2012-09-21,1460.34,1467.07,1459.51,1460.15,1770.2,1790.0,1769.1,1778.0,1.297,1.2982,1.297,1.2982,21,6,0,0,4,38,9,3,2012
173,2012-09-22,,,,,,,,,,,,,22,7,1,0,4,38,9,3,2012
174,2012-09-23,,,,,,,,,,,,,23,1,1,0,5,39,9,3,2012
175,2012-09-24,1459.76,1460.72,1452.06,1456.89,1774.7,1775.3,1757.9,1764.6,1.2982,1.2982,1.2932,1.2932,24,2,0,0,5,39,9,3,2012
176,2012-09-25,1456.94,1463.24,1441.59,1441.59,1766.2,1777.9,1761.0,1766.4,1.2932,1.2932,1.2899,1.2899,25,3,0,0,5,39,9,3,2012
177,2012-09-26,1441.6,1441.6,1430.53,1433.32,1762.7,1768.4,1738.3,1753.6,1.2899,1.2899,1.2873,1.2873,26,4,0,0,5,39,9,3,2012
178,2012-09-27,1433.36,1450.2,1433.36,1447.15,1756.3,1782.9,1753.2,1780.5,1.2873,1.2914,1.2873,1.2914,27,5,0,0,5,39,9,3,2012
179,2012-09-28,1447.13,1447.13,1435.6,1440.67,1780.0,1785.9,1769.5,1773.9,1.2914,1.2914,1.286,1.286,28,6,0,0,5,39,9,3,2012
180,2012-09-29,,,,,,,,,,,,,29,7,1,0,5,39,9,3,2012
181,2012-09-30,,,,,,,,,,,,,30,1,1,0,6,40,9,3,2012
182,2012-10-01,1440.9,1457.14,1440.9,1444.49,1773.7,1794.4,1765.7,1783.3,1.286,1.2889,1.286,1.2889,1,2,0,0,1,40,10,4,2012
183,2012-10-02,1444.99,1451.52,1439.01,1445.75,1780.0,1786.6,1772.3,1775.6,1.2889,1.292,1.2889,1.292,2,3,0,0,1,40,10,4,2012
184,2012-10-03,1446.05,1454.3,1441.99,1450.99,1776.2,1784.0,1773.0,1779.8,1.292,1.292,1.2906,1.2906,3,4,0,0,1,40,10,4,2012
185,2012-10-04,1451.08,1463.14,1451.08,1461.4,1780.0,1797.7,1779.9,1796.5,1.2906,1.3018,1.2906,1.3018,4,5,0,0,1,40,10,4,2012
