Date;Day;Weekday;Is_weekend;Is_holiday;Week_of_month;Week_of_year;Month;Quarter;Year
16.07.2012;16;2;0;0;3;29;7;3;2012
17.07.2012;17;3;0;0;3;29;7;3;2012
18.07.2012;18;4;0;0;3;29;7;3;2012
19.07.2012;19;5;0;0;3;29;7;3;2012
20.07.2012;20;6;0;0;3;29;7;3;2012
21.07.2012;21;7;1;0;3;29;7;3;2012
22.07.2012;22;1;1;0;4;30;7;3;2012
23.07.2012;23;2;0;0;4;30;7;3;2012
24.07.2012;24;3;0;0;4;30;7;3;2012
25.07.2012;25;4;0;0;4;30;7;3;2012
26.07.2012;26;5;0;0;4;30;7;3;2012
27.07.2012;27;6;0;0;4;30;7;3;2012
28.07.2012;28;7;1;0;4;30;7;3;2012
29.07.2012;29;1;1;0;5;31;7;3;2012
30.07.2012;30;2;0;0;5;31;7;3;2012
31.07.2012;31;3;0;0;5;31;7;3;2012
01.08.2012;1;4;0;0;1;31;8;3;2012
02.08.2012;2;5;0;0;1;31;8;3;2012
03.08.2012;3;6;0;0;1;31;8;3;2012
04.08.2012;4;7;1;0;1;31;8;3;2012
05.08.2012;5;1;1;0;2;32;8;3;2012
06.08.2012;6;2;0;0;2;32;8;3;2012
07.08.2012;7;3;0;0;2;32;8;3;2012
08.08.2012;8;4;0;0;2;32;8;3;2012
09.08.2012;9;5;0;0;2;32;8;3;2012
10.08.2012;10;6;0;0;2;32;8;3;2012
11.08.2012;11;7;1;0;2;32;8;3;2012
12.08.2012;12;1;1;0;3;33;8;3;2012
13.08.2012;13;2;0;0;3;33;8;3;2012
14.08.2012;14;3;0;0;3;33;8;3;2012
15.08.2012;15;4;0;0;3;33;8;3;2012
16.08.2012;16;5;0;0;3;33;8;3;2012
17.08.2012;17;6;0;0;3;33;8;3;2012
18.08.2012;18;7;1;0;3;33;8;3;2012
19.08.2012;19;1;1;0;4;34;8;3;2012
20.08.2012;20;2;0;0;4;34;8;3;2012
21.08.2012;21;3;0;0;4;34;8;3;2012
22.08.2012;22;4;0;0;4;34;8;3;2012
23.08.2012;23;5;0;0;4;34;8;3;2012
24.08.2012;24;6;0;0;4;34;8;3;2012
25.08.2012;25;7;1;0;4;34;8;3;2012
26.08.2012;26;1;1;0;5;35;8;3;2012
27.08.2012;27;2;0;0;5;35;8;3;2012
28.08.2012;28;3;0;0;5;35;8;3;2012
29.08.2012;29;4;0;0;5;35;8;3;2012
30.08.2012;30;5;0;0;5;35;8;3;2012
31.08.2012;31;6;0;0;5;35;8;3;2012
01.09.2012;1;7;1;0;1;35;9;3;2012
02.09.2012;2;1;1;0;2;36;9;3;2012
03.09.2012;3;2;0;1;2;36;9;3;2012
04.09.2012;4;3;0;0;2;36;9;3;2012
05.09.2012;5;4;0;0;2;36;9;3;2012
06.09.2012;6;5;0;0;2;36;9;3;2012
07.09.2012;7;6;0;0;2;36;9;3;2012
08.09.2012;8;7;1;0;2;36;9;3;2012
09.09.2012;9;1;1;0;3;37;9;3;2012
10.09.2012;10;2;0;0;3;37;9;3;2012
11.09.2012;11;3;0;0;3;37;9;3;2012
12.09.2012;12;4;0;0;3;37;9;3;2012
13.09.2012;13;5;0;0;3;37;9;3;2012
14.09.2012;14;6;0;0;3;37;9;3;2012
15.09.2012;15;7;1;0;3;37;9;3;2012
16.09.2012;16;1;1;0;4;38;9;3;2012
17.09.2012;17;2;0;0;4;38;9;3;2012
18.09.2012;18;3;0;0;4;38;9;3;2012
19.09.2012;19;4;0;0;4;38;9;3;2012
20.09.2012;20;5;0;0;4;38;9;3;2012
21.09.2012;21;6;0;0;4;38;9;3;2012
22.09.2012;22;7;1;0;4;38;9;3;2012
23.09.2012;23;1;1;0;5;39;9;3;2012
24.09.2012;24;2;0;0;5;39;9;3;2012
25.09.2012;25;3;0;0;5;39;9;3;2012
26.09.2012;26;4;0;0;5;39;9;3;2012
27.09.2012;27;5;0;0;5;39;9;3;2012
28.09.2012;28;6;0;0;5;39;9;3;2012
29.09.2012;29;7;1;0;5;39;9;3;2012
30.09.2012;30;1;1;0;6;40;9;3;2012
01.10.2012;1;2;0;0;1;40;10;4;2012
02.10.2012;2;3;0;0;1;40;10;4;2012
03.10.2012;3;4;0;0;1;40;10;4;2012
04.10.2012;4;5;0;0;1;40;10;4;2012
05.10.2012;5;6;0;0;1;40;10;4;2012
06.10.2012;6;7;1;0;1;40;10;4;2012
07.10.2012;7;1;1;0;2;41;10;4;2012
08.10.2012;8;2;0;1;2;41;10;4;2012
09.10.2012;9;3;0;0;2;41;10;4;2012
10.10.2012;10;4;0;0;2;41;10;4;2012
